level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,13,-153969.0,1000,3,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,14,-89669.0,1000,4,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,15,-8479.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,16,-190967.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,17,-185770.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,18,-86172.0,1000,8,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,19,-179076.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,10,-199800.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,11,-198800.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,12,2066.0,35,0,1
Level_2,VPG,vpg_weights.pth,2,0,13,-196200.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,14,-196600.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,15,2060.0,48,0,1
Level_2,VPG,vpg_weights.pth,2,0,16,-191600.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,17,-196400.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,18,-190996.0,1000,1,0
Level_2,VPG,vpg_weights.pth,2,0,19,-188800.0,1000,1,0
Level_2,PPO,ppo_weights.pth,2,0,10,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,11,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,12,-995.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,13,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,14,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,15,-996.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,16,-972.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,17,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,18,-1000.0,1000,0,0
Level_2,PPO,ppo_weights.pth,2,0,19,-984.0,1000,0,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,10,-6798.0,1000,2,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,11,-46600.0,1000,13,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,12,-2390.0,1000,1,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,13,-1000.0,1000,0,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,14,-27800.0,1000,11,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,15,-993.0,1000,0,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,16,1789.0,343,0,1
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,17,1362.0,768,0,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,18,-7392.0,1000,4,0
Level_2,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,2,0,19,-38784.0,1000,9,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,0,-50371.0,1000,12,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,1,-82771.0,1000,10,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,2,-59769.0,1000,12,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,3,-111578.0,1000,13,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,4,2053.0,75,0,1
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,5,-189393.0,1000,3,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,6,-48097.0,624,7,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,7,-20617.0,343,8,0
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,8,2084.0,44,0,1
Level_1,D3QN_RewSh2_BIASED,weights_d3qn_RewSh2.pth,0,0,9,-34600.0,726,5,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,0,1435.0,695,0,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,1,-31600.0,1000,13,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,2,-24131.0,861,7,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,3,890.0,442,1,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,4,-37782.0,1000,10,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,5,1876.0,253,0,1
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,6,-12177.0,1000,4,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,7,-20794.0,1000,13,0
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,8,2099.0,27,0,1
Level_2,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,2,0,9,-21952.0,881,12,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,0,1799.0,328,0,1
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,1,-25800.0,1000,4,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,2,-1481.0,404,2,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,3,-18795.0,926,5,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,4,1936.0,193,0,1
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,5,2046.0,81,0,1
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,6,-30575.0,1000,10,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,7,-77396.0,1000,16,0
Level_2,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,2,0,8,-27423.0,751,5,0
